dim_time_key,time_hhmm,time_hh_24,time_hh,time_am_pm
170404,1704,17,5,pm
170405,1704,17,5,pm
170406,1704,17,5,pm
170407,1704,17,5,pm
170408,1704,17,5,pm
170409,1704,17,5,pm
170410,1704,17,5,pm
170411,1704,17,5,pm
170412,1704,17,5,pm
170413,1704,17,5,pm
170414,1704,17,5,pm
170415,1704,17,5,pm
170416,1704,17,5,pm
170417,1704,17,5,pm
170418,1704,17,5,pm
170419,1704,17,5,pm
170420,1704,17,5,pm
170421,1704,17,5,pm
170422,1704,17,5,pm
170423,1704,17,5,pm
170424,1704,17,5,pm
170425,1704,17,5,pm
170426,1704,17,5,pm
170427,1704,17,5,pm
170428,1704,17,5,pm
170429,1704,17,5,pm
170430,1704,17,5,pm
170431,1704,17,5,pm
170432,1704,17,5,pm
170433,1704,17,5,pm
170434,1704,17,5,pm
170435,1704,17,5,pm
170436,1704,17,5,pm
170437,1704,17,5,pm
170438,1704,17,5,pm
170439,1704,17,5,pm
170440,1704,17,5,pm
170441,1704,17,5,pm
170442,1704,17,5,pm
170443,1704,17,5,pm
170444,1704,17,5,pm
170445,1704,17,5,pm
170446,1704,17,5,pm
170447,1704,17,5,pm
170448,1704,17,5,pm
170449,1704,17,5,pm
170450,1704,17,5,pm
170451,1704,17,5,pm
170452,1704,17,5,pm
170453,1704,17,5,pm
170454,1704,17,5,pm
170455,1704,17,5,pm
170456,1704,17,5,pm
170457,1704,17,5,pm
170458,1704,17,5,pm
170459,1704,17,5,pm
170500,1705,17,5,pm
170501,1705,17,5,pm
170502,1705,17,5,pm
170503,1705,17,5,pm
170504,1705,17,5,pm
170505,1705,17,5,pm
170506,1705,17,5,pm
170507,1705,17,5,pm
170508,1705,17,5,pm
170509,1705,17,5,pm
170510,1705,17,5,pm
170511,1705,17,5,pm
170512,1705,17,5,pm
170513,1705,17,5,pm
170514,1705,17,5,pm
170515,1705,17,5,pm
170516,1705,17,5,pm
170517,1705,17,5,pm
170518,1705,17,5,pm
170519,1705,17,5,pm
170520,1705,17,5,pm
170521,1705,17,5,pm
170522,1705,17,5,pm
170523,1705,17,5,pm
170524,1705,17,5,pm
170525,1705,17,5,pm
170526,1705,17,5,pm
170527,1705,17,5,pm
170528,1705,17,5,pm
170529,1705,17,5,pm
170530,1705,17,5,pm
170531,1705,17,5,pm
170532,1705,17,5,pm
170533,1705,17,5,pm
170534,1705,17,5,pm
170535,1705,17,5,pm
170536,1705,17,5,pm
170537,1705,17,5,pm
170538,1705,17,5,pm
170539,1705,17,5,pm
170540,1705,17,5,pm
170541,1705,17,5,pm
170542,1705,17,5,pm
170543,1705,17,5,pm
170544,1705,17,5,pm
170545,1705,17,5,pm
170546,1705,17,5,pm
170547,1705,17,5,pm
170548,1705,17,5,pm
170549,1705,17,5,pm
170550,1705,17,5,pm
170551,1705,17,5,pm
170552,1705,17,5,pm
170553,1705,17,5,pm
170554,1705,17,5,pm
170555,1705,17,5,pm
170556,1705,17,5,pm
170557,1705,17,5,pm
170558,1705,17,5,pm
170559,1705,17,5,pm
170600,1706,17,5,pm
170601,1706,17,5,pm
170602,1706,17,5,pm
170603,1706,17,5,pm
170604,1706,17,5,pm
